timestamp,sensor,data
1751517486.558556,imu,"(-0.00491, 0.00201, -1.01845, -0.00135, 0.00503, 0.00997)"
1751517486.558556,imu,"(-0.00491, 0.00201, -1.01845, -0.00135, 0.00503, 0.00997)"
1751517486.573941,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517486.5940027,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517486.6134517,attitude,"(-6.42, -1.3, 2.07)"
1751517486.6338785,position,"(0.0, 0.0, 0.0)"
1751517486.6550753,imu,"(0.21082, 0.00776, -1.02962, 0.01832, 0.01621, 0.00229)"
1751517486.674296,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517486.6931643,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517486.753433,imu,"(0.23439, 0.01643, -1.00431, 0.02118, -0.01061, 0.02936)"
1751517486.7735074,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517486.7942915,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517486.813956,attitude,"(-6.39, -1.31, 2.18)"
1751517486.8341577,position,"(0.07465, -0.00722, 0.0)"
1751517486.8533554,imu,"(0.0265, -0.02682, -1.02615, 0.00267, -0.04634, 0.01387)"
1751517486.8758183,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517486.897077,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517486.955757,imu,"(-0.10153, 0.01883, -1.01435, -0.02592, 0.00025, 0.00636)"
1751517486.9740748,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517486.99404,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517487.0130801,attitude,"(-6.52, -1.5, 2.13)"
1751517487.033948,position,"(0.15683, -0.01713, 0.0)"
1751517487.0536404,imu,"(0.12491, -0.03065, -1.01919, 0.01761, -0.00584, 0.05084)"
1751517487.0738227,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517487.0936868,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517487.1562915,imu,"(-0.0751, 0.00828, -1.05858, -0.01214, -0.00211, 0.03134)"
1751517487.1742587,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517487.1928666,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517487.213122,attitude,"(-6.49, -1.69, 2.01)"
1751517487.2335527,position,"(0.25839, -0.02876, 0.0)"
1751517487.2549198,imu,"(0.02875, -0.01898, -0.99142, 0.03705, 0.05991, 0.03736)"
1751517487.294473,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517487.3128242,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517487.3734136,imu,"(0.05782, 0.01403, -1.01453, 0.06869, 0.03504, 0.01505)"
1751517487.3934855,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517487.4137907,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517487.4332864,attitude,"(-6.46, -1.46, 2.07)"
1751517487.4556518,position,"(0.35848, -0.04022, 0.0)"
1751517487.4736407,imu,"(-0.08003, 0.01593, -1.01813, 0.00757, 0.00503, 0.00267)"
1751517487.4934819,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517487.5139303,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517487.5741508,imu,"(0.08065, -0.00235, -1.00711, -0.03466, 0.04599, 0.01414)"
1751517487.5932631,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517487.6141582,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517487.633342,attitude,"(-6.44, -1.3, 2.08)"
1751517487.6540823,position,"(0.45618, -0.0514, 0.0)"
1751517487.6739578,imu,"(-0.21819, 0.02262, -1.03228, -0.0553, -0.00309, -0.01101)"
